namespace	status	direct_source_relation	four_lane_behavior	surface_relation	bytecode_relation	classification	remaining_explanation
datomic.cache.impl	RESOLVED	oracle-proved-protocol-scaffold-with-compiler-alpha	exact	exact modulo explicit compiler-version :tag nil entries	protocol interfaces exact; implementation lambdas differ only by generated class names	compiler-provenance-equivalent	legacy versus expanded protocol initialization and generated function identifiers
datomic.kv-store	RESOLVED	semantic-body-or-structure	exact	exact modulo explicit compiler-version :tag nil entries	KVStore and Retryable interfaces exact; retry lambdas differ only by generated class names	compiler-provenance-equivalent	def/reset-meta! versus RT.var setDynamic/setMeta plus protocol scaffold and generated identifiers
datomic.valcache.puts-pool	RESOLVED	semantic-body-or-structure	exact	exact modulo explicit compiler-version :tag nil entries	PutsPool interface exact; default lambda class-name-only delta; remaining pop/athrow slots unreachable	compiler-provenance-equivalent	defmulti/defn compiler scaffold plus protocol scaffold and generated identifiers
datomic.simple-kv	RESOLVED	semantic-body-or-structure	exact	exact modulo explicit compiler-version :tag nil entries	KV interface and pack exact; retry constant-pool-only; unpack boxes then discards versus directly discards one primitive read	compiler-provenance-equivalent with semantically inert discarded-result boxing	protocol/defn compiler scaffold, column 1 versus int 1, and equivalent discarded getLong result
datomic.kv-sql	RESOLVED	semantic-body-or-structure	supported map/JDBC domain exact across all four lanes; singleton-sequence compiler domain exact within each artifact lineage	exact original/recovered Transactor surface; callable/class shapes agree	10-class ABI shapes agree; executable deltas are map-destructuring, closure field clearing, generated IDs, frames, and dead logger verifier slots	supported-domain equivalent with classified Clojure-compiler provenance divergence	Peer singleton-sequence put throws IllegalArgumentException while Transactor throws ClassCastException; documented map input and real PostgreSQL paths agree
datomic.kv-sql-ext	RESOLVED	semantic-body-or-structure	supported map/JDBC domain exact across all four lanes; singleton-sequence compiler domain exact within each artifact lineage	exact original/recovered Transactor surface; callable/class shapes agree	16-class ABI shapes agree; executable deltas are map-destructuring, with-open/try-finally, defmulti/Var scaffolds, generated IDs, frames, and dead verifier slots	supported-domain equivalent with classified Clojure-compiler provenance divergence	Peer rejects singleton-sequence configs while Transactor accepts the contained map; shared Callable arity mismatch is preserved in both lineages
datomic.sql	RESOLVED	semantic-body-or-structure	supported map/JDBC domain exact across all four lanes; three singleton-sequence compiler-domain rows exact within each artifact lineage	exact original/recovered Transactor surface; all eight callable Vars and class shapes agree	19-class normalized ABI agrees; residuals are three map-destructuring expansions, with-open/try-finally, generated IDs, closure clearing, frames, and unreachable verifier filler	supported-domain equivalent with classified Clojure-compiler provenance divergence	Peer rejects singleton-sequence maps at connect and both null-preserving helpers while Transactor unwraps them; all documented map inputs, JDBC effects, SQL text/bindings, results, and close paths agree
datomic.transaction	RESOLVED	semantic-body-or-structure	supported routing, address, Fressian codec, read-message, procargs, log-cache, completion, monitor, and logging domain exact across all four lanes; singleton-sequence compiler domain exact within each artifact lineage	exact original/recovered Transactor surface; all 13 Vars, callable arities, and 17 class roles agree	14/17 normalized class bodies exact; residuals are log-completion map destructuring and nil placement, one unreachable Datum-reader pop/athrow slot, and namespace-initializer Var/metadata scaffolding	supported-domain equivalent with classified Clojure-compiler provenance divergence	Peer rejects a malformed singleton-sequence log-event value with IllegalArgumentException while Transactor unwraps and completes it; valid internal log-event state is a map and all supported and live transaction paths agree
datomic.cache	RESOLVED	semantic-body-or-structure	supported alias, lookup, transform, read-ahead, cache mutation, in-flight collapse/retry, repair, close, and error domain exact across all four lanes; three singleton compiler-domain inputs exact within each artifact lineage	exact original/recovered Transactor surface; all 25 Vars, callable arities, ICachedLookup, and 32 class roles agree	13/32 normalized class bodies exact; residuals are map destructuring, closure capture/clearing order, unreachable pop/athrow or return scaffolding, and one redundant void/null sequence	supported-domain equivalent with classified Clojure-compiler provenance divergence	Peer rejects the three singleton map/sequence compiler edges while Transactor unwraps them; documented maps and keyword options plus every local cache combinator and all 11 forwarded roots agree
datomic.promise	RESOLVED	semantic-body-or-structure	helper, Future, listener, delivery-race, Throwable, cancellation, rejection, interruption, and cleanup behavior exact across all four lanes	exact original Peer/original Transactor/recovered Transactor metadata for all four public Vars; recovered Peer preserves roots and arities with explicit source metadata	all 51 methods and 60 fields agree after generated-ID normalization; 4/11 normalized class bodies exact and seven residuals classified as locking lowering, capture order, GC clearing, nil placement, and dead verifier slots	supported-domain equivalent with classified Clojure-compiler provenance and source-metadata divergence	recovered Peer retains authored source locations and omits the original Executor argument tag; executable roots, arities, concurrency, failure, cancellation, listener, and interruption behavior agree
